['2025-05-07-05-10-07_0', [1, 100]]
['2025-05-07-05-12-37_0', [1, 100]]
['2025-05-07-05-15-05_0', [1, 100]]
['2025-05-07-05-17-34_0', [1, 100]]
['2025-05-07-05-20-02_0', [1, 100]]
['2025-05-07-05-22-32_0', [1, 100]]
['2025-05-07-05-25-01_0', [1, 100]]
['2025-05-07-05-27-29_0', [1, 100]]
['2025-05-07-05-30-00_0', [1, 100]]
['2025-05-07-05-32-29_0', [1, 100]]
['2025-05-07-05-34-58_0', [1, 100]]
['2025-05-07-05-37-27_0', [1, 100]]
['2025-05-07-05-39-55_0', [1, 100]]
['2025-05-07-05-42-25_0', [1, 100]]
['2025-05-07-05-44-53_0', [1, 100]]
['2025-05-07-05-47-22_0', [1, 100]]
['2025-05-07-05-49-51_0', [1, 100]]
['2025-05-07-05-52-20_0', [1, 100]]
['2025-05-07-05-54-49_0', [1, 100]]
['2025-05-07-05-57-17_0', [1, 100]]
['2025-05-07-05-59-48_0', [1, 100]]
['2025-05-07-06-02-17_0', [1, 100]]
['2025-05-07-06-04-45_0', [1, 100]]
['2025-05-07-06-07-15_0', [1, 100]]
['2025-05-07-06-09-44_0', [1, 100]]
['2025-05-07-06-12-13_0', [1, 100]]
['2025-05-07-06-14-41_0', [1, 100]]
['2025-05-07-06-17-11_0', [1, 100]]
['2025-05-07-06-19-39_0', [1, 100]]
['2025-05-07-06-22-07_0', [1, 100]]
['2025-05-07-06-24-37_0', [1, 100]]
['2025-05-07-06-27-07_0', [1, 100]]
['2025-05-07-06-29-36_0', [1, 100]]
['2025-05-07-06-32-03_0', [1, 100]]
['2025-05-07-06-34-33_0', [1, 100]]
['2025-05-07-06-37-03_0', [1, 100]]
['2025-05-07-06-39-37_0', [1, 100]]
['2025-05-07-06-42-07_0', [1, 100]]
['2025-05-07-06-44-36_0', [1, 100]]
['2025-05-07-06-47-06_0', [1, 100]]
['2025-05-07-06-49-34_0', [1, 100]]
['2025-05-07-06-52-03_0', [1, 100]]
['2025-05-07-06-54-32_0', [1, 100]]
['2025-05-07-06-57-02_0', [1, 100]]
['2025-05-07-06-59-30_0', [1, 100]]
['2025-05-07-07-01-59_0', [1, 100]]
['2025-05-07-07-04-27_0', [1, 100]]
['2025-05-07-07-06-56_0', [1, 100]]
['2025-05-07-07-09-24_0', [1, 100]]
['2025-05-07-07-11-54_0', [1, 100]]
['2025-05-07-07-14-23_0', [1, 100]]
['2025-05-07-07-16-53_0', [1, 100]]
['2025-05-07-07-19-21_0', [1, 100]]
['2025-05-07-07-21-51_0', [1, 100]]
['2025-05-07-07-24-20_0', [1, 100]]
['2025-05-07-07-26-49_0', [1, 100]]
['2025-05-07-07-29-18_0', [1, 100]]
['2025-05-07-07-31-47_0', [1, 100]]
['2025-05-07-07-34-15_0', [1, 100]]
['2025-05-07-07-36-44_0', [1, 100]]
['2025-05-07-07-39-14_0', [1, 100]]
['2025-05-07-07-41-42_0', [1, 100]]
['2025-05-07-07-44-12_0', [1, 100]]
['2025-05-07-07-46-41_0', [1, 100]]
['2025-05-07-07-49-11_0', [1, 100]]
['2025-05-07-07-51-39_0', [1, 100]]
['2025-05-07-07-54-07_0', [1, 100]]
['2025-05-07-07-56-37_0', [1, 100]]
['2025-05-07-07-59-07_0', [1, 100]]
['2025-05-07-08-01-36_0', [1, 100]]
['2025-05-07-08-04-05_0', [1, 100]]
['2025-05-07-08-06-36_0', [1, 100]]
['2025-05-07-08-09-06_0', [1, 100]]
['2025-05-07-08-11-35_0', [1, 100]]
['2025-05-07-08-14-05_0', [1, 100]]
['2025-05-07-08-16-35_0', [1, 100]]
['2025-05-07-08-19-03_0', [1, 100]]
['2025-05-07-08-21-31_0', [1, 100]]
['2025-05-07-08-24-01_0', [1, 100]]
['2025-05-07-08-26-31_0', [1, 100]]
['2025-05-07-08-29-00_0', [1, 100]]
['2025-05-07-08-31-31_0', [1, 100]]
['2025-05-07-08-33-59_0', [1, 100]]
['2025-05-07-08-36-28_0', [1, 100]]
['2025-05-07-08-38-57_0', [1, 100]]
['2025-05-07-08-41-25_0', [1, 100]]
['2025-05-07-08-43-55_0', [1, 100]]
['2025-05-07-08-46-24_0', [1, 100]]
['2025-05-07-08-48-52_0', [1, 100]]
['2025-05-07-08-51-21_0', [1, 100]]
['2025-05-07-08-53-52_0', [1, 100]]
['2025-05-07-08-56-21_0', [1, 100]]
['2025-05-07-08-58-51_0', [1, 100]]
['2025-05-07-09-01-20_0', [1, 100]]
['2025-05-07-09-03-49_0', [1, 100]]
['2025-05-07-09-06-17_0', [1, 100]]
['2025-05-07-09-08-45_0', [1, 100]]
['2025-05-07-09-11-15_0', [1, 100]]
['2025-05-07-09-13-45_0', [1, 100]]
['2025-05-07-09-16-14_0', [1, 100]]
['2025-05-07-09-18-42_0', [1, 100]]
['2025-05-07-09-21-12_0', [1, 100]]
['2025-05-07-09-23-41_0', [1, 100]]
['2025-05-07-09-26-10_0', [1, 100]]
['2025-05-07-09-28-38_0', [1, 100]]
['2025-05-07-09-31-07_0', [1, 100]]
['2025-05-07-09-33-36_0', [1, 100]]
['2025-05-07-09-36-06_0', [1, 100]]
['2025-05-07-09-38-35_0', [1, 100]]
['2025-05-07-09-41-04_0', [1, 100]]
['2025-05-07-09-43-33_0', [1, 100]]
['2025-05-07-09-46-03_0', [1, 100]]
['2025-05-07-09-48-33_0', [1, 100]]
['2025-05-07-09-51-02_0', [1, 100]]
['2025-05-07-09-53-31_0', [1, 100]]
['2025-05-07-09-55-59_0', [1, 100]]
['2025-05-07-09-58-28_0', [1, 100]]
['2025-05-07-10-00-57_0', [1, 100]]
['2025-05-07-10-03-26_0', [1, 100]]
['2025-05-07-10-05-55_0', [1, 100]]
['2025-05-07-10-08-23_0', [1, 100]]
['2025-05-07-10-10-55_0', [1, 100]]
['2025-05-07-10-13-23_0', [1, 100]]
['2025-05-07-10-15-51_0', [1, 100]]
['2025-05-07-10-18-20_0', [1, 100]]
['2025-05-07-10-20-50_0', [1, 100]]
['2025-05-07-10-23-18_0', [1, 100]]
['2025-05-07-10-25-47_0', [1, 100]]
['2025-05-07-10-28-18_0', [1, 100]]
['2025-05-07-10-30-47_0', [1, 100]]
['2025-05-07-10-33-17_0', [1, 100]]
['2025-05-07-10-35-47_0', [1, 100]]
['2025-05-07-10-38-16_0', [1, 100]]
['2025-05-07-10-40-46_0', [1, 100]]
['2025-05-07-10-43-16_0', [1, 100]]
['2025-05-07-10-45-45_0', [1, 100]]
['2025-05-07-10-48-18_0', [1, 100]]
['2025-05-07-10-50-46_0', [1, 100]]
['2025-05-07-10-53-15_0', [1, 100]]
['2025-05-07-10-55-44_0', [1, 100]]
['2025-05-07-10-58-13_0', [1, 100]]
['2025-05-07-11-00-43_0', [1, 100]]
['2025-05-07-11-03-13_0', [1, 100]]
['2025-05-07-11-05-42_0', [1, 100]]
